aqiday0,aqiday1,aqiday2,aqiday3,aqiday4,aqiday5,aqiday6,aqiday7,aqiday8,aqiday9,aqiday10,aqiday11,aqiday12,aqiday13,aqiday14,aqiday15,aqiday16,aqiday17,aqiday18,aqiday19,aqiday20,aqiday21,aqiday22,aqiday23,aqiday24,aqiday25,aqiday26,aqiday27,aqiday28,aqiday29,aqiday30,aqiday31,aqiday32,aqiday33,aqiday34,aqiday35,aqiday36,aqiday37,aqiday38,aqiday39,aqiday40,aqiday41,aqiday42,aqiday43,aqiday44,aqiday45,aqiday46,aqiday47,aqiday48,aqiday49,aqiday50,aqiday51,aqiday52,aqiday53,aqiday54,aqiday55,aqiday56,aqiday57,aqiday58,aqiday59,aqiday60
37.083333333333336,34.25925925925926,35.833333333333336,29.62962962962963,27.916666666666668,32.407407407407405,37.03703703703704,36.111111111111114,35.18518518518518,33.333333333333336,39.81481481481482,39.81481481481482,35.18518518518518,30.000000000000004,42.592592592592595,30.555555555555557,33.333333333333336,35.18518518518518,38.888888888888886,34.25925925925926,37.96296296296296,43.51851851851852,33.333333333333336,37.96296296296296,33.333333333333336,34.25925925925926,39.81481481481482,38.888888888888886,45.370370370370374,36.111111111111114,36.111111111111114,42.5,37.03703703703704,37.03703703703704,38.888888888888886,42.592592592592595,42.592592592592595,37.03703703703704,36.111111111111114,35.41666666666667,35.18518518518518,41.666666666666664,37.96296296296296,37.03703703703704,33.333333333333336,37.03703703703704,39.81481481481482,43.51851851851852,33.333333333333336,42.592592592592595,42.592592592592595,33.333333333333336,36.111111111111114,37.96296296296296,35.18518518518518,32.407407407407405,32.407407407407405,34.25925925925926,40.74074074074074,34.583333333333336,43.75
37.083333333333336,34.25925925925926,35.833333333333336,29.62962962962963,27.916666666666668,32.407407407407405,37.03703703703704,36.111111111111114,35.18518518518518,33.333333333333336,39.81481481481482,39.81481481481482,35.18518518518518,30.000000000000004,42.592592592592595,30.555555555555557,33.333333333333336,35.18518518518518,38.888888888888886,34.25925925925926,37.96296296296296,43.51851851851852,33.333333333333336,37.96296296296296,33.333333333333336,34.25925925925926,39.81481481481482,38.888888888888886,45.370370370370374,36.111111111111114,36.111111111111114,42.5,37.03703703703704,37.03703703703704,38.888888888888886,42.592592592592595,42.592592592592595,37.03703703703704,36.111111111111114,35.41666666666667,35.18518518518518,41.666666666666664,37.96296296296296,37.03703703703704,33.333333333333336,37.03703703703704,39.81481481481482,43.51851851851852,33.333333333333336,42.592592592592595,42.592592592592595,33.333333333333336,36.111111111111114,37.96296296296296,35.18518518518518,32.407407407407405,32.407407407407405,34.25925925925926,40.74074074074074,34.583333333333336,43.75
37.083333333333336,34.25925925925926,35.833333333333336,29.62962962962963,27.916666666666668,32.407407407407405,37.03703703703704,36.111111111111114,35.18518518518518,33.333333333333336,39.81481481481482,39.81481481481482,35.18518518518518,30.000000000000004,42.592592592592595,30.555555555555557,33.333333333333336,35.18518518518518,38.888888888888886,34.25925925925926,37.96296296296296,43.51851851851852,33.333333333333336,37.96296296296296,33.333333333333336,34.25925925925926,39.81481481481482,38.888888888888886,45.370370370370374,36.111111111111114,36.111111111111114,42.5,37.03703703703704,37.03703703703704,38.888888888888886,42.592592592592595,42.592592592592595,37.03703703703704,36.111111111111114,35.41666666666667,35.18518518518518,41.666666666666664,37.96296296296296,37.03703703703704,33.333333333333336,37.03703703703704,39.81481481481482,43.51851851851852,33.333333333333336,42.592592592592595,42.592592592592595,33.333333333333336,36.111111111111114,37.96296296296296,35.18518518518518,32.407407407407405,32.407407407407405,34.25925925925926,40.74074074074074,34.583333333333336,43.75
37.083333333333336,45.833333333333336,67.33333333333333,70.6,50.0,64.06666666666666,86.93333333333334,50.0,42.592592592592595,46.2962962962963,51.0,43.51851851851852,67.33333333333333,60.8,57.53333333333333,42.592592592592595,48.148148148148145,57.53333333333333,57.53333333333333,64.06666666666666,67.33333333333333,70.6,50.0,42.592592592592595,44.44444444444444,40.74074074074074,38.888888888888886,44.44444444444444,51.0,67.33333333333333,46.2962962962963,49.074074074074076,46.2962962962963,45.370370370370374,45.370370370370374,41.666666666666664,45.370370370370374,47.22222222222222,50.0,67.33333333333333,64.06666666666666,45.370370370370374,46.2962962962963,48.148148148148145,50.0,46.2962962962963,51.0,54.266666666666666,50.0,47.22222222222222,48.148148148148145,48.148148148148145,51.0,46.2962962962963,37.96296296296296,42.592592592592595,43.51851851851852,47.22222222222222,50.0,49.074074074074076,45.370370370370374
37.083333333333336,45.833333333333336,45.370370370370374,47.50000000000001,35.18518518518518,28.703703703703702,27.77777777777778,33.333333333333336,37.96296296296296,31.48148148148148,29.62962962962963,32.407407407407405,34.25925925925926,37.96296296296296,37.96296296296296,33.333333333333336,34.25925925925926,34.25925925925926,38.888888888888886,38.888888888888886,34.583333333333336,41.666666666666664,40.74074074074074,39.81481481481482,38.888888888888886,37.03703703703704,37.96296296296296,34.25925925925926,35.18518518518518,34.25925925925926,37.96296296296296,38.888888888888886,35.18518518518518,36.111111111111114,38.888888888888886,37.03703703703704,37.03703703703704,37.96296296296296,37.03703703703704,38.888888888888886,37.96296296296296,38.888888888888886,37.96296296296296,39.81481481481482,38.888888888888886,37.96296296296296,37.03703703703704,38.888888888888886,38.888888888888886,37.96296296296296,35.18518518518518,37.96296296296296,34.25925925925926,39.81481481481482,35.41666666666667,36.111111111111114,37.96296296296296,42.592592592592595,47.08333333333334,42.5,33.333333333333336
37.083333333333336,34.25925925925926,35.833333333333336,29.62962962962963,27.916666666666668,32.407407407407405,37.03703703703704,36.111111111111114,35.18518518518518,33.333333333333336,39.81481481481482,39.81481481481482,35.18518518518518,30.000000000000004,42.592592592592595,30.555555555555557,33.333333333333336,35.18518518518518,38.888888888888886,34.25925925925926,37.96296296296296,43.51851851851852,33.333333333333336,37.96296296296296,33.333333333333336,34.25925925925926,39.81481481481482,38.888888888888886,45.370370370370374,36.111111111111114,36.111111111111114,42.5,37.03703703703704,37.03703703703704,38.888888888888886,42.592592592592595,42.592592592592595,37.03703703703704,36.111111111111114,35.41666666666667,35.18518518518518,41.666666666666664,37.96296296296296,37.03703703703704,33.333333333333336,37.03703703703704,39.81481481481482,43.51851851851852,33.333333333333336,42.592592592592595,42.592592592592595,33.333333333333336,36.111111111111114,37.96296296296296,35.18518518518518,32.407407407407405,32.407407407407405,34.25925925925926,40.74074074074074,34.583333333333336,43.75
37.083333333333336,45.833333333333336,77.13333333333333,64.06666666666666,44.44444444444444,73.86666666666667,73.86666666666667,80.4,46.2962962962963,77.13333333333333,44.44444444444444,64.06666666666666,80.4,64.06666666666666,54.266666666666666,40.74074074074074,42.592592592592595,51.0,45.370370370370374,73.86666666666667,60.8,70.6,57.53333333333333,42.592592592592595,43.51851851851852,45.370370370370374,42.592592592592595,48.148148148148145,70.6,67.33333333333333,47.50000000000001,67.33333333333333,73.86666666666667,49.074074074074076,40.74074074074074,44.44444444444444,44.44444444444444,64.06666666666666,67.33333333333333,57.53333333333333,50.0,42.592592592592595,50.0,57.53333333333333,49.074074074074076,47.22222222222222,44.44444444444444,50.0,47.22222222222222,46.2962962962963,46.2962962962963,45.370370370370374,47.22222222222222,44.44444444444444,40.74074074074074,41.666666666666664,48.148148148148145,47.22222222222222,46.2962962962963,48.148148148148145,46.2962962962963
37.083333333333336,45.833333333333336,45.370370370370374,47.50000000000001,35.18518518518518,28.703703703703702,27.77777777777778,33.333333333333336,37.96296296296296,31.48148148148148,29.62962962962963,32.407407407407405,34.25925925925926,37.96296296296296,37.96296296296296,33.333333333333336,34.25925925925926,34.25925925925926,38.888888888888886,38.888888888888886,34.583333333333336,41.666666666666664,40.74074074074074,39.81481481481482,38.888888888888886,37.03703703703704,37.96296296296296,34.25925925925926,35.18518518518518,34.25925925925926,37.96296296296296,38.888888888888886,35.18518518518518,36.111111111111114,38.888888888888886,37.03703703703704,37.03703703703704,37.96296296296296,37.03703703703704,38.888888888888886,37.96296296296296,38.888888888888886,37.96296296296296,39.81481481481482,38.888888888888886,37.96296296296296,37.03703703703704,38.888888888888886,38.888888888888886,37.96296296296296,35.18518518518518,37.96296296296296,34.25925925925926,39.81481481481482,35.41666666666667,36.111111111111114,37.96296296296296,42.592592592592595,47.08333333333334,42.5,33.333333333333336
37.083333333333336,34.25925925925926,35.833333333333336,29.62962962962963,27.916666666666668,32.407407407407405,37.03703703703704,36.111111111111114,35.18518518518518,33.333333333333336,39.81481481481482,39.81481481481482,35.18518518518518,30.000000000000004,42.592592592592595,30.555555555555557,33.333333333333336,35.18518518518518,38.888888888888886,34.25925925925926,37.96296296296296,43.51851851851852,33.333333333333336,37.96296296296296,33.333333333333336,34.25925925925926,39.81481481481482,38.888888888888886,45.370370370370374,36.111111111111114,36.111111111111114,42.5,37.03703703703704,37.03703703703704,38.888888888888886,42.592592592592595,42.592592592592595,37.03703703703704,36.111111111111114,35.41666666666667,35.18518518518518,41.666666666666664,37.96296296296296,37.03703703703704,33.333333333333336,37.03703703703704,39.81481481481482,43.51851851851852,33.333333333333336,42.592592592592595,42.592592592592595,33.333333333333336,36.111111111111114,37.96296296296296,35.18518518518518,32.407407407407405,32.407407407407405,34.25925925925926,40.74074074074074,34.583333333333336,43.75
47.22222222222222,60.8,122.0,51.0,38.888888888888886,41.666666666666664,26.66666666666667,32.083333333333336,45.370370370370374,54.266666666666666,40.833333333333336,42.592592592592595,57.93991416309013,80.4,122.0,57.53333333333333,45.370370370370374,70.6,136.0,73.86666666666667,46.2962962962963,48.148148148148145,59.201716738197426,53.52360515021459,54.36480686695279,67.33333333333333,49.074074074074076,42.592592592592595,58.15021459227468,70.6,48.148148148148145,52.892703862660944,64.87982832618026,55.836909871244636,59.412017167381975,40.0,42.91666666666667,77.13333333333333,47.22222222222222,44.44444444444444,39.81481481481482,37.5,33.333333333333336,39.81481481481482,44.583333333333336,41.25000000000001,51.0,42.592592592592595,37.03703703703704,62.987124463519315,67.33333333333333,67.33333333333333,45.370370370370374,40.74074074074074,33.75,53.103004291845494,43.51851851851852,37.91666666666667,67.61373390557941,122.0,51.0
