lagday0,lagday1,lagday2,lagday3,lagday4,lagday5,lagday6,lagday7,lagday8,lagday9,lagday10,lagday11,lagday12,lagday13,lagday14,lagday15,lagday16,lagday17,lagday18,lagday19,lagday20,lagday21,lagday22,lagday23,lagday24,lagday25,lagday26,lagday27,lagday28,lagday29,lagday30,lagday31,lagday32,lagday33,lagday34,lagday35,lagday36,lagday37,lagday38,lagday39,lagday40,lagday41,lagday42,lagday43,lagday44,lagday45,lagday46,lagday47,lagday48,lagday49,lagday50,lagday51,lagday52,lagday53,lagday54,lagday55,lagday56,lagday57,lagday58,lagday59,lagday60
50.99100000000001,41.413,37.044,38.15,36.974,36.592,40.353,38.176,46.277,41.779,39.12300000000001,38.342,43.286,42.078,43.878,39.191,23.734,38.741,42.669,36.9,40.785,41.49100000000001,38.342,42.185,40.927,43.12600000000001,41.041,35.472,41.403,40.913,35.152,19.596,21.856,29.654,36.342,35.618,40.208,32.96,33.602,32.89,40.986,37.815,36.481,40.754,39.118,32.286,34.77,38.929,40.65,45.239,31.107,36.55,40.485,33.178000000000004,33.66,35.441,25.107,32.648,21.35,32.134,36.842
50.99100000000001,58.08,77.472,54.71,41.534,44.817,27.956,27.203000000000007,48.756,55.705,31.006,46.183,45.942,64.308,77.059,56.951,48.969,60.895,80.601,62.379,49.91,51.81800000000001,47.372,50.832,50.276,59.637,52.63800000000001,45.986,40.939,60.707,51.731,45.015,35.424,28.071,26.896,24.803,26.311,63.285,50.914,47.878,43.062,38.472,36.014,42.551,41.601000000000006,40.906,46.70399999999999,45.972,40.093,37.904,59.594,60.056,48.715,43.789,29.109,41.947,46.721,39.473,41.073,76.557,55.49
50.99100000000001,54.017,55.264,38.431,26.342,22.56,38.385,39.586,29.298000000000002,36.51,37.417,44.177,60.426,55.75,47.67,41.588,57.593,61.874,46.76300000000001,47.87600000000001,33.479,34.351,33.245,50.333,58.624,50.243,41.515,52.542,53.922,49.593,47.707,30.095,38.678,42.301,38.816,36.484,33.876,31.658,43.418,47.914,48.865,43.158,44.659,48.43899999999999,50.778,43.007,35.778,35.025,39.648,56.41,47.139,40.349,34.427,36.768,41.61600000000001,42.733,32.798,39.947,40.957,40.759,44.872
50.99100000000001,46.173,40.036,42.344,40.802,42.724,39.925,41.929,39.219,39.285,44.411,33.417,28.235,26.665,27.365,27.144,38.857,43.201,49.23,42.041,44.931,46.575,43.338,42.984,45.012,48.732,39.926,44.265,45.702,35.558,43.784,36.324,26.02,31.459,36.603,41.87300000000001,45.565,41.35,42.874,42.375,42.198,42.15,46.61,51.147,43.379,40.467,43.006,31.326,19.905,29.779,39.49800000000001,41.838,33.466,27.911,33.613,41.393,39.923,28.263,24.618,32.302,33.643
50.99100000000001,63.234,62.423,56.272,59.485,65.307,59.267,54.183,55.007,60.533,58.819,63.664,53.09,44.787,44.11,45.637,60.01,61.486,62.617,60.173,53.881,53.53,52.697,50.37,54.128,52.685,56.68899999999999,55.841,48.918,48.631,49.50100000000001,43.618,45.09,51.673,49.621,51.558,47.284,51.146,54.667,53.646,53.42,51.88800000000001,55.26600000000001,56.717,53.585,51.87300000000001,48.56800000000001,50.319,53.067,53.165,52.69,53.578,52.621,48.74,51.476000000000006,50.824,50.542,49.542,52.094,48.801,56.212
50.99100000000001,46.173,40.036,42.344,40.802,42.724,39.925,41.929,39.219,39.285,44.411,33.417,28.235,26.665,27.365,27.144,38.857,43.201,49.23,42.041,44.931,46.575,43.338,42.984,45.012,48.732,39.926,44.265,45.702,35.558,43.784,36.324,26.02,31.459,36.603,41.87300000000001,45.565,41.35,42.874,42.375,42.198,42.15,46.61,51.147,43.379,40.467,43.006,31.326,19.905,29.779,39.49800000000001,41.838,33.466,27.911,33.613,41.393,39.923,28.263,24.618,32.302,33.643
50.99100000000001,54.017,55.264,38.431,26.342,22.56,38.385,39.586,28.394,36.51,37.417,44.177,60.426,55.75,47.67,41.588,57.593,61.874,46.76300000000001,47.87600000000001,33.479,34.351,33.245,50.333,58.624,50.243,41.515,52.542,53.922,49.593,47.707,30.095,38.678,42.301,38.816,36.484,33.876,31.658,43.418,47.914,48.865,43.158,44.659,48.43899999999999,50.778,43.007,35.778,35.025,39.648,56.41,47.139,40.349,34.427,36.768,41.61600000000001,42.733,32.798,39.947,40.957,40.759,44.872
50.99100000000001,50.258,57.365,68.834,59.074,55.465,53.933,43.602,49.1,61.828,60.984,34.181,50.081,37.848,50.147,53.918,63.536,56.244,42.045,60.468,58.361,60.607,55.405,56.985,57.585,41.562,52.662,52.43899999999999,49.182,50.467,51.43600000000001,43.705,50.82899999999999,51.555,55.911,54.208,58.195,53.411,60.398,56.158,61.733,54.749,55.72,57.87,52.345,51.835,48.819,46.152,52.409,56.21100000000001,55.052,56.06399999999999,54.129,53.856,43.581,35.166,50.359,48.343,48.423,51.01300000000001,47.155
50.99100000000001,46.173,40.036,42.344,40.802,42.724,39.925,41.929,39.219,39.285,44.411,33.417,28.235,26.665,27.365,27.144,38.857,43.201,49.23,42.041,44.931,46.575,43.338,42.984,45.012,48.732,39.926,44.265,45.702,35.558,43.784,36.324,26.02,31.459,36.603,41.87300000000001,45.565,41.35,42.874,42.375,42.198,42.15,46.61,51.147,43.379,40.467,43.006,31.326,19.905,29.779,39.49800000000001,41.838,33.466,27.911,33.613,41.393,39.923,28.263,24.618,32.302,33.643
50.99100000000001,41.413,37.044,38.15,36.974,36.592,40.353,38.176,46.277,41.779,39.12300000000001,38.342,43.286,42.078,43.878,39.191,23.734,38.741,42.669,36.9,40.785,41.49100000000001,38.342,42.185,40.927,43.12600000000001,41.041,35.472,41.403,40.913,35.152,19.596,21.856,29.654,36.342,41.35,45.565,32.96,33.602,32.89,40.986,37.815,36.481,40.754,39.118,32.286,34.77,38.929,40.65,45.239,31.107,36.55,40.485,33.178000000000004,33.66,35.441,25.107,32.648,21.35,32.134,36.842
